body_type,drinks,drugs,height,income,orientation,sex,smokes,status,record,new_sign,new_religion,age
3,3,1,73,80000.0,1,1,1,1,141,9,9,59.0
3,4,2,73,-1.0,1,1,1,1,142,4,9,36.0
1,3,1,67,60000.0,1,1,1,1,145,10,4,24.0
6,6,3,70,-1.0,1,1,2,1,146,11,2,28.0
2,3,1,61,-1.0,4,2,1,1,155,10,1,29.0
6,3,1,68,-1.0,1,2,1,1,157,7,1,29.0
10,3,1,69,-1.0,1,2,1,1,158,10,9,54.0
2,2,1,72,-1.0,1,1,1,1,164,9,2,20.0
9,3,1,63,20000.0,4,2,1,1,167,5,4,26.0
3,3,1,68,70000.0,1,2,1,1,168,11,1,26.0
3,3,1,63,-1.0,1,2,1,1,173,1,2,33.0
7,3,1,69,-1.0,1,1,5,1,174,3,9,22.0
4,3,1,68,-1.0,1,1,1,1,176,8,6,27.0
7,4,1,72,250000.0,1,1,5,1,177,6,7,29.0
3,3,1,69,-1.0,4,1,1,1,180,1,2,32.0
3,3,1,66,20000.0,1,2,1,1,181,3,4,21.0
9,4,1,68,-1.0,1,2,1,1,182,7,1,27.0
3,4,1,66,-1.0,1,2,1,1,186,1,6,52.0
4,3,1,60,-1.0,1,2,1,1,187,4,9,33.0
4,2,1,67,150000.0,1,2,1,1,188,4,1,28.0
3,1,1,79,50000.0,1,1,1,1,189,8,1,37.0
6,3,1,69,-1.0,1,1,1,1,191,6,4,32.0
10,4,2,69,-1.0,4,2,3,1,192,8,1,29.0
7,3,1,63,-1.0,1,2,3,1,195,12,4,32.0
4,3,2,67,-1.0,1,1,4,1,196,1,9,28.0
3,3,1,65,80000.0,3,2,1,1,200,1,4,27.0
3,3,1,67,-1.0,1,1,1,1,201,5,9,28.0
3,3,1,63,-1.0,1,2,5,1,203,5,1,31.0
9,3,1,69,-1.0,1,2,1,1,205,8,6,43.0
3,4,1,69,-1.0,4,2,1,1,207,2,4,24.0
2,3,1,66,-1.0,1,2,1,4,209,5,1,30.0
6,2,1,72,-1.0,1,1,1,1,211,7,2,33.0
4,4,2,70,1000000.0,1,1,1,1,216,6,3,33.0
2,3,1,65,-1.0,1,2,1,1,217,8,7,43.0
3,3,1,64,-1.0,1,2,1,1,221,2,1,35.0
4,3,1,63,-1.0,1,2,1,1,223,3,3,42.0
6,3,1,68,-1.0,1,2,1,1,225,8,3,30.0
4,1,1,71,-1.0,1,2,1,1,227,1,9,41.0
4,2,1,70,-1.0,1,2,1,1,229,6,6,58.0
2,3,1,66,-1.0,1,2,1,1,231,7,3,50.0
3,3,1,65,40000.0,1,2,1,1,233,2,3,66.0
3,3,2,62,100000.0,3,2,5,1,236,2,5,53.0
6,3,1,72,-1.0,1,1,3,1,237,9,3,28.0
6,3,2,73,-1.0,1,1,1,1,239,1,6,19.0
6,2,1,67,30000.0,1,1,1,1,240,10,3,35.0
6,3,1,69,60000.0,1,1,1,1,242,3,3,30.0
3,4,2,61,100000.0,1,2,1,4,244,8,9,32.0
10,2,1,63,-1.0,1,2,1,1,245,10,3,45.0
6,3,1,63,-1.0,1,2,1,1,247,5,2,36.0
7,3,1,71,-1.0,1,1,1,3,248,4,4,40.0
6,3,1,62,60000.0,1,2,5,1,249,5,1,34.0
2,3,1,72,50000.0,1,1,4,1,251,9,9,39.0
3,3,1,68,-1.0,1,1,1,1,255,5,3,46.0
6,3,1,62,-1.0,1,2,1,1,258,5,3,30.0
6,3,1,62,-1.0,1,2,1,1,262,1,4,40.0
2,3,1,66,-1.0,1,2,1,1,263,2,4,46.0
4,2,1,67,-1.0,1,1,4,1,264,2,2,41.0
4,3,1,62,-1.0,1,2,1,1,265,4,3,29.0
6,2,1,69,-1.0,1,2,1,1,266,9,3,53.0
3,2,1,69,80000.0,1,1,1,1,267,6,9,39.0
2,1,1,63,-1.0,1,2,1,1,272,8,6,59.0
9,3,1,67,-1.0,1,2,3,1,273,12,4,28.0
3,4,2,68,-1.0,1,1,3,1,274,7,2,29.0
3,2,2,64,80000.0,1,2,1,1,278,1,5,42.0
4,2,1,80,-1.0,1,1,1,1,280,4,9,27.0
6,3,1,60,-1.0,1,2,1,1,281,9,9,45.0
6,2,1,69,50000.0,1,1,1,1,283,3,3,47.0
9,3,1,67,-1.0,1,2,1,1,284,2,3,24.0
7,1,1,64,-1.0,1,2,1,1,285,6,9,53.0
6,3,2,63,-1.0,1,2,1,1,287,4,5,49.0
4,3,2,72,-1.0,1,1,1,1,292,1,4,26.0
3,3,1,70,-1.0,1,1,1,1,296,7,3,51.0
6,3,1,62,-1.0,1,2,1,3,298,4,1,48.0
3,1,1,72,-1.0,1,1,1,1,300,2,1,47.0
3,4,2,65,-1.0,1,2,3,1,302,8,1,37.0
4,3,1,71,-1.0,1,1,1,1,304,7,4,32.0
6,3,1,64,40000.0,1,2,1,1,306,10,3,33.0
6,3,2,75,20000.0,1,1,4,1,308,9,9,42.0
6,3,1,73,-1.0,1,1,1,1,310,10,3,55.0
3,3,1,69,-1.0,1,1,1,1,312,7,5,25.0
6,1,1,64,-1.0,1,2,1,1,313,10,9,31.0
9,3,1,61,-1.0,1,2,1,1,317,9,2,29.0
2,3,1,62,-1.0,1,2,1,1,319,8,9,43.0
6,3,2,67,-1.0,1,2,3,1,322,5,2,19.0
3,3,1,68,-1.0,1,2,1,1,324,2,9,44.0
9,1,1,68,-1.0,1,2,1,1,327,2,1,40.0
6,3,1,65,-1.0,1,2,1,1,328,7,6,63.0
4,2,1,66,100000.0,1,1,1,1,329,8,9,45.0
6,3,1,62,-1.0,1,2,1,1,330,3,4,53.0
6,3,1,63,70000.0,1,2,4,1,335,12,2,61.0
4,3,1,65,150000.0,1,2,1,1,337,7,4,34.0
4,3,1,67,-1.0,1,2,1,1,338,4,1,34.0
6,3,2,69,-1.0,1,1,1,1,344,6,1,20.0
7,1,1,72,-1.0,3,1,1,1,347,1,2,19.0
6,1,1,73,-1.0,1,1,1,1,349,4,5,66.0
6,3,1,74,20000.0,1,1,1,1,353,9,4,32.0
9,2,1,68,40000.0,1,2,1,1,354,6,2,34.0
3,3,1,75,-1.0,1,1,1,1,356,3,5,26.0
6,3,1,65,-1.0,1,2,1,1,358,9,9,44.0
1,4,2,69,-1.0,1,2,1,1,361,9,9,30.0
6,3,1,73,-1.0,1,1,1,1,362,4,2,26.0
4,3,1,69,-1.0,1,1,3,1,364,8,6,31.0
1,3,1,71,-1.0,1,1,1,1,367,7,2,35.0
6,3,1,71,50000.0,1,1,1,1,372,5,2,35.0
6,3,1,72,40000.0,1,1,2,1,375,2,9,32.0
4,3,1,66,-1.0,1,2,1,1,378,2,3,47.0
4,3,1,72,-1.0,1,1,1,1,384,5,2,30.0
6,3,1,68,-1.0,1,1,5,1,388,7,3,32.0
3,3,1,66,-1.0,1,2,1,1,389,11,6,24.0
4,2,2,69,-1.0,1,1,1,1,390,7,3,57.0
1,3,1,72,-1.0,1,1,1,1,391,3,3,41.0
7,4,2,61,-1.0,1,2,1,1,392,1,4,37.0
3,1,1,76,20000.0,1,1,1,1,397,6,9,37.0
3,3,1,71,-1.0,1,1,1,1,398,9,1,60.0
6,2,1,62,-1.0,1,2,1,1,404,9,9,57.0
9,3,1,67,-1.0,1,2,1,1,405,6,5,43.0
2,3,1,64,-1.0,1,2,1,1,411,4,4,41.0
3,3,1,68,-1.0,1,1,1,1,413,11,1,23.0
9,3,1,68,-1.0,1,2,1,1,414,8,9,49.0
6,3,1,71,-1.0,1,1,1,1,415,12,3,59.0
3,3,1,68,-1.0,1,2,1,1,418,11,4,59.0
10,4,1,73,-1.0,1,2,1,1,420,9,1,33.0
6,3,1,71,-1.0,1,1,1,1,422,3,1,36.0
7,3,2,74,-1.0,1,1,1,4,427,12,1,33.0
3,3,1,67,-1.0,1,1,1,1,431,4,2,28.0
7,3,1,61,-1.0,1,2,1,1,434,1,3,44.0
6,3,1,66,-1.0,1,2,1,1,435,8,4,28.0
3,3,1,76,60000.0,1,1,1,1,436,8,4,47.0
3,3,1,69,-1.0,1,1,1,1,437,5,9,24.0
3,3,1,62,70000.0,1,2,1,1,443,1,9,52.0
2,4,1,65,-1.0,1,2,1,1,450,1,1,52.0
7,3,1,64,-1.0,1,2,3,1,451,3,4,42.0
8,3,1,68,-1.0,1,2,1,1,452,11,1,31.0
4,3,1,68,-1.0,1,1,1,1,453,5,3,38.0
3,3,1,64,-1.0,1,2,1,1,455,10,5,32.0
3,2,1,64,30000.0,1,2,1,1,458,2,9,31.0
4,3,1,72,-1.0,1,1,1,1,459,3,5,32.0
6,3,1,64,-1.0,1,2,1,1,460,2,4,22.0
6,3,1,72,100000.0,1,1,4,1,463,12,1,44.0
6,3,1,65,-1.0,1,2,1,1,467,11,1,33.0
6,3,1,64,-1.0,1,2,1,1,469,4,3,32.0
2,3,1,63,-1.0,1,2,1,1,470,3,9,27.0
3,1,1,63,-1.0,1,2,1,1,471,8,9,39.0
3,3,1,66,100000.0,1,2,1,1,472,8,9,47.0
4,3,2,70,100000.0,1,1,4,1,473,4,3,33.0
3,3,1,67,-1.0,1,2,1,1,475,7,3,42.0
7,3,2,67,-1.0,1,1,2,1,485,1,2,33.0
6,3,1,70,250000.0,1,1,1,1,486,3,5,25.0
8,5,3,72,20000.0,1,1,1,1,490,7,9,23.0
10,2,1,66,20000.0,4,2,1,1,491,12,9,23.0
3,2,1,70,-1.0,1,1,1,1,493,10,6,48.0
3,3,1,64,60000.0,1,1,1,1,496,10,9,59.0
4,3,1,75,100000.0,1,1,1,3,502,7,1,30.0
4,3,1,73,20000.0,1,1,1,1,504,3,9,18.0
4,3,1,62,-1.0,1,2,1,1,506,10,4,32.0
2,3,1,64,-1.0,1,2,1,1,507,12,2,27.0
9,3,1,68,-1.0,1,2,1,1,508,9,3,56.0
4,3,1,70,-1.0,1,1,1,1,509,8,3,35.0
6,4,3,69,-1.0,1,1,5,1,512,7,2,43.0
4,3,1,68,60000.0,1,1,1,1,513,10,1,27.0
6,3,1,75,-1.0,1,1,4,1,518,6,5,41.0
6,3,1,67,-1.0,1,2,5,1,519,10,9,27.0
4,3,1,72,-1.0,1,1,1,1,523,11,1,28.0
4,3,1,72,-1.0,1,1,1,1,526,6,9,42.0
9,3,1,64,20000.0,1,2,1,1,531,4,3,26.0
3,3,2,75,50000.0,1,1,1,1,532,1,3,37.0
6,4,1,70,-1.0,1,1,1,1,535,6,5,50.0
4,3,2,70,-1.0,1,1,1,3,542,1,1,49.0
9,2,2,83,70000.0,1,1,5,1,546,3,5,32.0
7,6,3,59,-1.0,1,2,2,1,548,5,9,26.0
4,3,2,76,-1.0,3,1,1,3,552,1,9,44.0
2,3,2,72,-1.0,1,1,1,1,560,5,2,26.0
3,4,1,66,-1.0,3,2,1,3,564,6,2,41.0
4,3,1,70,-1.0,1,1,1,1,565,1,9,45.0
3,3,1,67,30000.0,1,1,1,1,568,9,9,23.0
6,3,1,68,-1.0,4,2,1,1,569,11,3,28.0
6,3,1,74,-1.0,1,1,1,1,570,9,4,29.0
2,1,1,60,-1.0,1,2,1,1,572,8,3,33.0
7,3,1,70,70000.0,1,1,1,1,573,2,3,52.0
4,3,1,63,30000.0,1,1,4,1,574,2,4,25.0
3,3,1,68,-1.0,1,1,1,1,575,5,4,61.0
6,3,1,71,-1.0,1,1,5,1,576,7,4,28.0
6,1,2,73,30000.0,1,1,1,1,577,8,7,35.0
6,3,1,65,-1.0,1,1,1,1,584,10,3,45.0
6,3,1,69,-1.0,1,2,1,1,585,5,3,49.0
9,3,1,61,-1.0,1,2,1,1,587,6,7,27.0
1,3,1,63,-1.0,1,2,1,1,589,11,9,25.0
2,3,2,63,-1.0,1,2,5,4,590,3,9,44.0
3,2,2,66,40000.0,1,2,1,1,592,2,2,30.0
9,3,1,64,-1.0,1,2,1,1,593,1,6,58.0
3,3,1,68,-1.0,1,2,1,1,595,11,6,44.0
9,3,2,67,80000.0,1,2,1,1,597,1,9,38.0
6,2,1,63,-1.0,1,2,1,1,598,11,4,47.0
3,4,2,68,-1.0,3,1,1,3,600,8,9,28.0
6,3,1,63,-1.0,1,2,1,1,603,10,4,52.0
7,1,1,68,-1.0,1,2,1,1,609,9,4,57.0
10,2,1,69,-1.0,1,1,1,1,611,10,6,41.0
3,2,2,74,100000.0,1,1,1,1,612,6,2,35.0
6,3,1,73,-1.0,1,1,5,1,613,4,6,26.0
7,3,1,72,-1.0,4,1,1,1,614,6,4,52.0
9,3,1,63,-1.0,1,2,1,1,615,1,3,45.0
6,1,1,68,-1.0,1,2,2,1,616,12,1,24.0
6,3,2,73,100000.0,1,1,1,1,622,4,1,41.0
1,3,1,64,50000.0,1,2,1,1,623,8,3,26.0
7,4,2,71,-1.0,1,1,4,1,624,1,9,27.0
3,3,1,64,-1.0,1,2,1,1,625,2,6,25.0
4,3,2,63,-1.0,1,2,1,1,626,10,4,39.0
4,5,2,71,-1.0,3,1,5,1,632,10,9,27.0
2,3,1,74,20000.0,1,1,5,3,634,3,1,31.0
9,3,1,64,-1.0,1,2,1,1,636,1,5,55.0
4,3,1,65,-1.0,1,2,1,1,637,8,6,37.0
6,3,1,64,-1.0,1,2,1,1,639,8,4,32.0
6,1,1,70,-1.0,1,1,1,1,640,12,4,18.0
3,3,1,61,-1.0,1,2,1,1,642,2,6,22.0
4,3,1,70,-1.0,1,2,4,1,644,6,9,36.0
4,3,1,71,-1.0,1,1,1,1,646,5,4,30.0
1,4,1,69,-1.0,4,2,1,1,653,6,2,27.0
3,2,1,68,-1.0,1,2,1,1,654,3,1,30.0
4,3,1,71,100000.0,1,1,1,1,656,10,4,34.0
1,3,1,66,30000.0,1,2,3,1,659,12,3,57.0
3,3,1,70,-1.0,1,1,1,1,660,2,9,31.0
3,3,1,73,-1.0,4,1,1,1,662,5,1,30.0
1,4,1,73,80000.0,1,1,1,1,663,6,1,27.0
4,3,1,67,-1.0,1,1,1,1,665,12,1,33.0
3,3,2,68,-1.0,4,2,1,1,667,4,9,45.0
3,3,1,67,60000.0,1,1,1,1,668,11,6,36.0
3,3,1,70,-1.0,1,1,1,1,669,10,2,32.0
3,3,1,62,-1.0,3,2,1,1,671,2,9,34.0
6,3,2,69,-1.0,1,1,4,1,673,4,1,34.0
6,1,1,68,-1.0,1,1,1,1,674,4,9,61.0
4,3,1,71,70000.0,1,1,3,1,687,5,1,41.0
4,3,1,70,100000.0,1,1,1,1,691,2,4,30.0
3,3,1,70,70000.0,1,1,1,1,693,9,6,29.0
6,3,1,68,-1.0,1,1,1,1,694,2,5,32.0
2,3,1,72,500000.0,1,1,1,1,697,9,9,23.0
10,3,2,64,-1.0,1,2,1,2,699,10,9,43.0
6,3,2,67,-1.0,1,1,2,1,701,3,1,28.0
2,3,2,74,-1.0,4,1,1,1,704,3,1,39.0
3,2,1,62,-1.0,1,2,1,1,707,1,6,46.0
4,3,1,73,40000.0,1,1,1,1,709,5,4,29.0
7,1,1,67,20000.0,1,1,4,1,711,11,4,36.0
6,3,1,72,-1.0,1,1,1,4,716,8,3,39.0
3,3,1,70,-1.0,1,1,1,1,717,7,3,40.0
6,5,2,74,-1.0,1,1,3,1,719,10,1,26.0
1,2,1,64,-1.0,1,2,5,1,723,10,5,25.0
4,3,1,62,30000.0,1,1,1,1,724,2,5,36.0
3,4,2,67,-1.0,1,1,4,1,726,4,9,35.0
4,3,1,74,-1.0,1,1,1,1,727,3,1,27.0
2,3,1,64,60000.0,1,2,1,1,730,12,4,33.0
3,3,1,73,-1.0,1,1,1,1,731,6,1,33.0
6,3,2,66,-1.0,4,1,1,1,732,10,4,32.0
3,3,1,69,50000.0,1,1,3,3,734,5,3,24.0
6,3,1,69,40000.0,1,1,4,1,736,9,9,31.0
4,3,3,68,60000.0,1,1,4,1,738,10,9,22.0
6,4,2,69,-1.0,3,1,1,1,741,5,1,36.0
3,4,1,73,-1.0,1,1,1,1,743,9,2,47.0
6,3,1,60,-1.0,1,2,1,1,744,5,4,39.0
6,3,1,71,-1.0,1,1,2,1,748,8,2,34.0
6,3,2,68,-1.0,4,1,1,1,749,1,3,50.0
3,3,1,70,-1.0,1,1,1,1,750,12,9,30.0
9,2,1,68,50000.0,1,2,1,1,753,5,3,38.0
1,3,1,64,-1.0,1,2,1,1,754,7,3,25.0
4,3,1,72,-1.0,1,1,3,1,755,5,9,24.0
6,2,1,73,20000.0,1,1,1,4,756,1,1,27.0
4,3,1,69,-1.0,1,1,1,1,757,4,3,32.0
6,4,2,68,-1.0,1,1,1,1,764,4,2,23.0
7,3,1,74,-1.0,1,1,1,1,765,2,9,26.0
4,3,2,70,-1.0,1,1,4,1,772,6,9,23.0
3,2,1,68,-1.0,1,1,1,1,773,11,1,38.0
4,3,1,71,-1.0,1,1,4,1,774,7,6,23.0
3,3,2,72,-1.0,1,1,2,1,775,7,2,30.0
6,3,2,71,-1.0,1,1,1,1,776,3,6,22.0
3,3,1,68,50000.0,1,1,3,1,778,12,4,25.0
6,1,1,68,-1.0,1,1,1,1,779,4,2,26.0
9,3,1,60,-1.0,1,2,1,1,781,7,1,35.0
6,3,1,70,-1.0,1,1,1,1,782,9,4,30.0
4,3,1,74,40000.0,1,1,1,1,783,6,4,24.0
3,2,1,68,-1.0,1,2,1,1,784,4,4,43.0
1,3,2,72,-1.0,4,2,5,1,785,6,9,26.0
6,3,1,64,-1.0,4,2,1,1,789,3,4,36.0
2,3,2,65,-1.0,1,2,2,1,790,5,9,46.0
7,4,2,70,20000.0,1,1,1,1,793,1,1,59.0
2,1,1,70,-1.0,1,1,1,1,794,9,3,19.0
4,3,1,73,-1.0,1,1,1,1,795,8,3,31.0
4,2,1,66,40000.0,1,1,3,1,798,3,3,21.0
8,2,1,74,30000.0,1,1,1,1,799,8,3,38.0
4,6,2,69,-1.0,1,1,1,1,800,1,9,31.0
6,3,1,69,-1.0,1,1,3,1,804,8,9,23.0
2,3,1,72,-1.0,4,1,1,1,806,4,1,42.0
7,3,1,72,50000.0,1,1,1,1,813,2,4,29.0
6,2,1,73,100000.0,1,1,1,1,817,11,3,35.0
3,3,1,71,-1.0,1,1,1,1,821,2,9,30.0
4,4,2,68,-1.0,1,2,1,1,822,10,9,34.0
2,3,1,70,-1.0,1,1,1,1,823,6,2,30.0
6,3,2,67,20000.0,1,1,4,1,826,11,9,20.0
2,3,2,71,1000000.0,4,1,5,1,831,10,1,23.0
3,3,1,69,-1.0,1,1,1,1,839,6,3,40.0
3,2,1,72,-1.0,1,1,1,1,842,2,3,29.0
6,2,1,74,-1.0,1,1,1,1,844,4,2,36.0
6,3,1,71,-1.0,1,2,1,3,849,1,2,35.0
3,3,1,68,150000.0,1,1,1,1,857,1,1,39.0
2,4,1,73,30000.0,4,1,2,1,858,8,9,32.0
3,3,1,75,-1.0,1,1,1,1,862,6,1,27.0
2,3,1,70,-1.0,1,1,1,1,864,5,1,30.0
3,2,2,69,-1.0,1,1,1,3,866,8,2,26.0
4,3,1,66,-1.0,1,1,1,1,868,8,1,34.0
6,5,2,68,30000.0,1,1,5,1,869,8,2,24.0
4,3,1,73,-1.0,1,1,1,1,870,12,9,27.0
10,2,1,64,-1.0,1,2,5,1,872,1,9,29.0
1,3,1,67,-1.0,3,2,1,1,875,3,1,21.0
4,3,2,70,-1.0,1,1,5,1,877,2,1,32.0
6,3,1,67,-1.0,1,1,1,1,881,12,4,26.0
3,1,1,73,150000.0,1,1,1,1,884,10,9,36.0
12,4,2,70,-1.0,1,1,2,1,892,8,1,33.0
7,1,1,62,-1.0,4,2,1,1,893,6,1,29.0
9,4,2,65,20000.0,1,2,3,4,894,5,9,27.0
4,3,1,67,-1.0,1,2,1,1,895,11,3,25.0
9,3,1,66,20000.0,1,2,1,1,900,4,3,21.0
9,3,1,65,-1.0,1,2,1,1,905,10,6,38.0
6,3,1,66,-1.0,1,1,1,1,907,5,1,32.0
3,2,2,58,-1.0,1,2,1,1,909,3,6,23.0
6,3,1,62,-1.0,1,2,1,1,910,10,3,45.0
4,2,1,67,50000.0,1,1,1,1,913,5,1,42.0
6,3,2,64,40000.0,1,2,1,1,915,4,1,34.0
6,1,1,64,-1.0,4,2,1,1,919,7,2,22.0
4,2,2,73,80000.0,3,1,1,1,923,2,2,41.0
6,3,2,65,-1.0,1,2,1,1,924,4,2,24.0
6,4,1,64,-1.0,1,1,1,1,931,3,2,27.0
9,3,1,68,100000.0,3,1,1,1,934,5,2,34.0
6,2,1,70,100000.0,1,1,1,1,935,5,3,40.0
6,2,2,71,1000000.0,1,1,1,3,937,5,1,23.0
2,3,1,66,-1.0,4,2,1,1,941,2,1,29.0
2,4,2,71,1000000.0,4,1,2,1,942,11,2,31.0
2,3,1,66,-1.0,1,2,1,1,948,11,2,25.0
2,3,2,69,-1.0,1,1,1,1,950,4,2,28.0
2,3,2,68,-1.0,1,2,5,1,952,7,1,26.0
1,3,2,61,-1.0,1,2,2,1,953,8,1,23.0
4,3,1,73,20000.0,1,1,1,1,964,6,1,34.0
4,1,1,73,60000.0,1,1,3,1,967,2,9,28.0
2,3,1,60,20000.0,3,2,1,1,969,3,2,21.0
9,4,2,70,-1.0,4,2,5,1,970,3,2,23.0
4,3,2,65,-1.0,1,2,1,1,975,7,2,23.0
6,3,1,65,-1.0,3,2,1,1,977,10,4,24.0
10,2,2,66,-1.0,3,2,1,4,981,8,2,27.0
2,3,1,70,-1.0,1,2,1,1,986,4,1,29.0
3,3,2,66,-1.0,4,2,5,1,987,5,2,22.0
9,3,1,68,-1.0,1,2,1,1,991,11,1,31.0
6,2,1,61,20000.0,1,2,1,1,992,3,4,22.0
4,3,1,72,-1.0,1,1,1,1,994,11,3,30.0
3,3,1,72,-1.0,1,1,1,1,995,2,3,26.0
6,3,2,67,150000.0,1,1,1,4,996,9,1,40.0
4,3,1,74,-1.0,1,1,1,1,1001,8,6,23.0
1,3,2,66,-1.0,1,2,3,1,1005,12,2,20.0
4,3,2,67,-1.0,1,2,1,1,1008,5,9,35.0
6,3,2,72,-1.0,1,1,1,4,1019,4,9,42.0
6,3,1,71,-1.0,3,1,1,3,1025,8,1,42.0
6,3,1,71,-1.0,1,1,1,1,1027,9,1,43.0
3,3,1,66,70000.0,1,2,1,1,1028,8,3,31.0
6,3,1,67,-1.0,1,2,1,1,1031,8,7,38.0
6,3,1,71,-1.0,1,1,1,1,1037,2,4,36.0
6,3,1,66,-1.0,1,2,1,1,1045,3,1,35.0
2,4,1,68,-1.0,1,2,1,1,1049,2,3,32.0
4,3,1,73,-1.0,1,1,5,1,1055,5,6,26.0
4,3,1,63,-1.0,1,2,1,1,1057,12,4,26.0
7,4,2,68,-1.0,4,2,1,1,1058,10,1,29.0
2,3,2,65,-1.0,1,2,1,1,1061,9,9,33.0
2,3,1,64,-1.0,1,2,1,1,1065,7,1,28.0
2,3,1,62,-1.0,3,2,4,1,1067,8,6,25.0
3,3,1,74,-1.0,1,1,1,1,1077,12,6,31.0
6,3,1,66,-1.0,1,1,1,1,1079,12,4,26.0
3,4,2,64,-1.0,1,2,1,1,1084,2,9,31.0
3,3,1,68,20000.0,1,2,1,1,1086,7,1,21.0
6,3,1,67,-1.0,1,1,1,1,1093,3,9,30.0
3,3,1,72,-1.0,1,1,1,1,1095,2,9,23.0
3,3,1,69,-1.0,4,1,1,1,1096,1,4,22.0
7,1,1,72,-1.0,4,1,1,1,1100,4,6,47.0
3,3,1,66,-1.0,1,2,1,1,1102,5,3,35.0
3,3,1,67,-1.0,1,1,1,1,1107,11,9,24.0
6,3,1,67,-1.0,1,1,1,1,1108,11,9,64.0
6,3,2,65,20000.0,1,2,2,1,1109,4,1,23.0
8,1,1,68,20000.0,1,1,1,1,1111,11,2,24.0
6,3,1,71,-1.0,4,1,1,1,1119,12,2,28.0
2,3,2,73,-1.0,1,1,5,1,1120,3,2,33.0
3,3,1,67,-1.0,1,2,1,1,1121,6,1,41.0
1,3,1,68,-1.0,4,1,1,1,1122,6,1,27.0
3,3,1,69,100000.0,1,1,1,1,1128,6,1,28.0
4,3,1,67,-1.0,1,2,1,1,1129,5,3,42.0
9,3,1,62,-1.0,1,2,1,1,1131,10,8,27.0
4,3,3,66,20000.0,1,2,1,1,1133,2,5,24.0
6,3,1,70,-1.0,1,1,1,1,1136,10,2,40.0
6,3,1,71,100000.0,1,1,1,1,1139,9,9,44.0
6,3,2,68,100000.0,1,1,1,1,1144,12,2,38.0
6,1,1,71,-1.0,1,1,1,1,1145,6,9,44.0
3,3,2,72,-1.0,1,1,1,1,1146,3,2,31.0
6,3,1,64,-1.0,1,2,1,1,1147,7,6,49.0
